Code BSS;Nom Station;Altitude point (m);Prof. investig. (m);Code insee commune;Nom commune;Date mise en service;Date de fermeture;Code masse d'eau;Nom masse d'eau;Entité Hydrogéologique;Nom entité Hydrogeo;Réseaux;Suivis
"01938X0150";"Buttes-témoin de Calc. Dogg. à LOISY";"280";"";"54320";"LOISY";"01/07/09";"";"FRCG008";"Plateau lorrain versant Rhin";"207t";"BUTTES-TEMOIN DE CALCAIRES DU DOGGER";"0000000028 - [01/01/1900- En cours ]-0000000077 - RNESOUGRENELLE[01/07/2009- En cours ]-0000000078 - RNESOUNO3[01/10/2009- En cours ]-0200000069 - FRCSOO[01/10/2018- En cours ]-0200000086 - [01/07/2009- En cours ]-0200000087 - RBESOUCAPRIORM[01/07/2009- En cours ]-0200000089 - RRM9PROG[01/07/2009- En cours ]-0200000098 - [01/10/2010- En cours ]-";"Mesures phys-chim-µbio-µp QSOU/"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"275";"";"54320";"LOISY";"01/07/09";"";"FRCG008";"Plateau lorrain versant Rhin";"207t";"BUTTES-TEMOIN DE CALCAIRES DU DOGGER";"0000000028 - [01/01/1900- En cours ]-0000000077 - RNESOUGRENELLE[01/07/2009- En cours ]-0000000078 - RNESOUNO3[01/10/2009- En cours ]-0200000069 - FRCSOO[01/10/2018- En cours ]-0200000086 - [01/07/2009- En cours ]-0200000087 - RBESOUCAPRIORM[01/07/2009- En cours ]-0200000089 - RRM9PROG[01/07/2009- En cours ]-0200000098 - [01/10/2010- En cours ]-";"Mesures phys-chim-µbio-µp QSOU/"
"01938X0151";"Buttes-témoin de calcaires du Dogger à LOISY";"265";"";"54320";"LOISY";"01/01/08";"";"FRCG008";"Plateau lorrain versant Rhin";"207t";"BUTTES-TEMOIN DE CALCAIRES DU DOGGER";"0000000028 - [01/01/1900- En cours ]-0000000071 - [01/01/2008- En cours ]-0000000072 - [01/01/2008- En cours ]-0000000077 - RNESOUGRENELLE[01/07/2009- En cours ]-0000000078 - RNESOUNO3[01/10/2009- En cours ]-0000000101 - [01/01/2011- En cours ]-0200000068 - [01/01/2008- En cours ]-0200000069 - FRCSOO[01/01/2008- En cours ]-0200000080 - [01/01/2008- En cours ]-0200000086 - [01/07/2009- En cours ]-0200000087 - RBESOUCAPRIORM[01/07/2009- En cours ]-0200000089 - RRM9PROG[01/07/2009- En cours ]-0200000098 - [01/10/2010- En cours ]-0200000099 - RBESOURMCAMPEX[01/01/2011- En cours ]-";"Mesures phys-chim-µbio-µp QSOU/"
"01938X0148";"Buttes-témoin de Calc. Dogg. à LOISY";"285";"";"54320";"LOISY";"01/07/09";"";"FRCG008";"Plateau lorrain versant Rhin";"207t";"BUTTES-TEMOIN DE CALCAIRES DU DOGGER";"0000000028 - [01/01/1900- En cours ]-0000000077 - RNESOUGRENELLE[01/07/2009- En cours ]-0000000078 - RNESOUNO3[01/10/2009- En cours ]-0200000069 - FRCSOO[01/10/2018- En cours ]-0200000086 - [01/07/2009- En cours ]-0200000087 - RBESOUCAPRIORM[01/07/2009- En cours ]-0200000089 - RRM9PROG[01/07/2009- En cours ]-0200000098 - [01/10/2010- En cours ]-";"Mesures phys-chim-µbio-µp QSOU/"
"01938X0147";"Buttes-témoin de Calc. Dogg. à LOISY";"290";"";"54320";"LOISY";"01/07/09";"";"FRCG008";"Plateau lorrain versant Rhin";"207t";"BUTTES-TEMOIN DE CALCAIRES DU DOGGER";"0000000028 - [01/01/1900- En cours ]-0000000077 - RNESOUGRENELLE[01/07/2009- En cours ]-0000000078 - RNESOUNO3[01/10/2009- En cours ]-0200000069 - FRCSOO[01/10/2018- En cours ]-0200000086 - [01/07/2009- En cours ]-0200000087 - RBESOUCAPRIORM[01/07/2009- En cours ]-0200000089 - RRM9PROG[01/07/2009- En cours ]-0200000098 - [01/10/2010- En cours ]-";"Mesures phys-chim-µbio-µp QSOU/"
"01938X0149";"Buttes-témoin de Calc. Dogg. à LOISY";"277";"";"54320";"LOISY";"01/07/09";"";"FRCG008";"Plateau lorrain versant Rhin";"207t";"BUTTES-TEMOIN DE CALCAIRES DU DOGGER";"0000000028 - [01/01/1900- En cours ]-0000000077 - RNESOUGRENELLE[01/07/2009- En cours ]-0000000078 - RNESOUNO3[01/10/2009- En cours ]-0200000069 - FRCSOO[01/10/2018- En cours ]-0200000086 - [01/07/2009- En cours ]-0200000087 - RBESOUCAPRIORM[01/07/2009- En cours ]-0200000089 - RRM9PROG[01/07/2009- En cours ]-0200000098 - [01/10/2010- En cours ]-";"Mesures phys-chim-µbio-µp QSOU/"
