"Pour plus d'informations sur le contenu de ce fichier et notamment pour interpréter les codes remarques associés aux analyses, veuillez vous reporter au fichier de métadonnées.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Code BSS";"Nom Station";"Code paramètre";"Paramètre";"Unité";"AN";"ECART_TYPE";"NB";"MEDIANE";"PERCENTILE_10";"PERCENTILE_90";"MINI";"MAXI";"MOYENNE";"Code remarque";"NBNONQUANT";"CODE_FRACTANALY"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2015";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2016";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2017";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2018";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1236";"Phenmédiphame";"µg/L";"2019";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2016";"0";"3";",02";",02";",02";",02";",02";",02";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2017";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2018";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1237";"Phosalone";"µg/L";"2019";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1238";"Phosphamidon";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1238";"Phosphamidon";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1238";"Phosphamidon";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2018";"0";"2";",0003";",0003";",0003";",0003";",0003";",0003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1239";"PCB 28";"µg/L";"2019";"0";"4";",0003";",0003";",0003";",0003";",0003";",0003";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1240";"PCB 35";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1240";"PCB 35";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1240";"PCB 35";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1240";"PCB 35";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1240";"PCB 35";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2018";"0";"2";",0003";",0003";",0003";",0003";",0003";",0003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1241";"PCB 52";"µg/L";"2019";"0";"4";",0003";",0003";",0003";",0003";",0003";",0003";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2018";"0";"2";",0003";",0003";",0003";",0003";",0003";",0003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1242";"PCB 101";"µg/L";"2019";"0";"4";",0003";",0003";",0003";",0003";",0003";",0003";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1243";"PCB 118";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2018";"0";"2";",0003";",0003";",0003";",0003";",0003";",0003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1244";"PCB 138";"µg/L";"2019";"0";"4";",0003";",0003";",0003";",0003";",0003";",0003";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2018";"0";"2";",0003";",0003";",0003";",0003";",0003";",0003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1245";"PCB 153";"µg/L";"2019";"0";"4";",0003";",0003";",0003";",0003";",0003";",0003";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2012";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2013";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2014";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2016";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2017";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2018";"0";"2";",0003";",0003";",0003";",0003";",0003";",0003";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1246";"PCB 180";"µg/L";"2019";"0";"4";",0003";",0003";",0003";",0003";",0003";",0003";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2015";"0";"3";",006";",006";",006";",006";",006";",006";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2016";"0";"3";",006";",006";",006";",006";",006";",006";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2017";"0";"2";",006";",006";",006";",006";",006";",006";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2018";"0";"2";",001";",001";",001";",001";",001";",001";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1253";"Prochloraz";"µg/L";"2019";"0";"4";",001";",001";",001";",001";",001";",001";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2016";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2017";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2018";"0";"2";",002";",002";",002";",002";",002";",002";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1254";"Prométryne";"µg/L";"2019";"0";"4";",002";",002";",002";",002";",002";",002";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2015";"0";"3";",02";",02";",02";",02";",02";",02";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2016";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2017";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2018";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1255";"Propargite";"µg/L";"2019";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2015";"0";"1";",02";",02";",02";",02";",02";",02";"10";"1";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2016";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2017";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1256";"Propazine";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2015";"0";"3";",006";",006";",006";",006";",006";",006";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2016";"0";"3";",006";",006";",006";",006";",006";",006";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2017";"0";"2";",006";",006";",006";",006";",006";",006";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2018";"0";"2";",002";",002";",002";",002";",002";",002";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1257";"Propiconazole";"µg/L";"2019";"0";"4";",002";",002";",002";",002";",002";",002";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2016";"0";"1";",05";",05";",05";",05";",05";",05";"10";"1";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2017";"0";"1";",05";",05";",05";",05";",05";",05";"10";"1";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2018";"0";"2";",005";",005";",005";",005";",005";",005";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1258";"Pyrazophos";"µg/L";"2019";"0";"4";",005";",005";",005";",005";",005";",005";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2016";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2017";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2018";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1259";"Pyridate";"µg/L";"2019";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1260";"Pyrimiphos-éthyl";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1260";"Pyrimiphos-éthyl";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1260";"Pyrimiphos-éthyl";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2015";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2016";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2017";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2018";"0";"2";",01";",01";",01";",01";",01";",01";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1261";"Pyrimiphos-méthyl";"µg/L";"2019";"0";"4";",01";",01";",01";",01";",01";",01";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2015";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2016";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2017";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2018";"0";"2";",002";",002";",002";",002";",002";",002";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1262";"Secbuméton";"µg/L";"2019";"0";"4";",002";",002";",002";",002";",002";",002";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2015";"0";"3";",009";",009";",009";",009";",009";",009";"10";"3";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2016";"0";"4";",009";",009";",009";",009";",009";",009";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2017";"0";"4";",009";",009";",009";",009";",009";",009";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2018";"0";"2";",002";",002";",002";",002";",002";",002";"10";"2";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1263";"Simazine";"µg/L";"2019";"0";"4";",002";",002";",002";",002";",002";",002";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1264";"2,4,5-T";"µg/L";"2012";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1264";"2,4,5-T";"µg/L";"2013";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1264";"2,4,5-T";"µg/L";"2014";"0";"4";",02";",02";",02";",02";",02";",02";"10";"4";"23"
"01938X0113";"Buttes-témoin de Calc. Dogg. à LOISY";"1264";"2,4,5-T";"µg/L";"2015";"0";"2";",02";",02";",02";",02";",02";",02";"10";"2";"23"
